Component ID,Component Name*,Description,Comment,Quality,Location,PA,In Cubicle,Controller,Mnemonic Name,,,,,,TO BE ADDED,,
D1-N9-GAD0-COMP-093,55GAD0-GM-3301,Motor,Filter wheel motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-094,55GAD0-GM-3302,Motor,Filter wheel motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-095,55GAD0-GM-3303,Motor,Filter wheel motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-096,55GAD0-GM-3304,Motor,Filter wheel motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-097,55GAD0-GM-3305,Motor,Filter wheel motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-098,55GAD0-GM-3306,Motor,Filter wheel motor,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-099,55GAD0-MTE-3101,Thermocouple: N Type,Calibration Assembly thermocouple: BB source,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-100,55GAD0-MTE-3102,Thermocouple: N Type,Calibration Assembly thermocouple : BB source,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-101,55GAD0-MTE-3103,Thermocouple: N Type,Calibration Assembly thermocouple : IS source,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-102,55GAD0-MTE-3104,Thermocouple: N Type,Calibration Assembly thermocouple : IS source,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-103,55GAD0-MTE-3105,Thermocouple: N Type,Diachromatic splitter thermocouple,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-104,55GAD0-CSO-3101,Calibration source : Blackbody,Calibration source,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-SCI-9101,,,,,,,,,
D1-N9-GAD0-COMP-105,55GAD0-CSO-3102,Calibration source: Integrated sphere,Calibration source,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-SCI-9101,,,,,,,,,
D1-N9-GAD0-COMP-106,55GAD0-MTE-3201,Thermocouple: N Type,A70 W1 Temperature,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-107,55GAD0-MTE-3202,Thermocouple: N Type,A70 S1 Temperature,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-108,55GAD0-MTE-3203,Thermocouple: N Type,A80 temperature : Spare,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-109,55GAD0-MTE-3204,Thermocouple: N Type,CAM optics bench temperature,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-110,55GAD0-MTE-3205,Thermocouple: N Type,CAM optics bench temperature,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-111,55GAD0-MTE-3206,Thermocouple: N Type,CAM optics bench temperature,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-112,55GAD0-MTE-3207,Thermocouple: N Type,CAM optics bench temperature,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-113,55GAD0-MTE-3208,Thermocouple: N Type,Temperature : spare,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-114,55GAD0-MTE-3209,Thermocouple: N Type,Temperature : spare,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-115,55GAD0-MTE-3210,Thermocouple: N Type,Temperature : spare,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-116,55GAD0-GM-3302,Motor,visible camera linear stage,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-117,55GAD0-GM-3304,Motor,visible camera linear stage,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-CMO-9001,,,,,,,,,
D1-N9-GAD0-COMP-118,55GAD0-MZH-3202,high limit switch,visible camera linear stage high limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-119,55GAD0-MZL-3202,Low limit switch,visible camera linear stage low limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-120,55GAD0-MZH-3204,high limit switch,visible camera linear stage high limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-121,55GAD0-MZL-3204,Low limit switch,visible camera linear stage low limit switch,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAD0-PLC-9002,,,,,,,,,
D1-N9-GAD0-COMP-122,55GAD0-RCK-3100,RF macthing box,RF matching box 1,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,Shielded Electronics Rack,55GAD0-PSU-9212,,,,,,,,,
