Signal ID,Signal Name,Component*,Description,Type,Direction,Logic,Range,I&C Cubicle,Quality,Component Destination*,Mnemonic Name,,
D1-N9-GAA0-SIG-082,55GAA0-MTE-2111:TE-CRC,55GAA0-MTE-2111,A50 assembly thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-083,55GAA0-MTE-2112:TE-CRC,55GAA0-MTE-2112,A50 assembly thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-084,55GAA0-MTE-2113:TE-CRC,55GAA0-MTE-2113,A50 assembly thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-085,55GAA0-MTE-2114:TE-CRC,55GAA0-MTE-2114,A50 assembly thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-086,55GAA0-MTE-2115:TE-CRC,55GAA0-MTE-2115,A50 assembly thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-087,55GAA0-MTE-2116:TE-CRC,55GAA0-MTE-2116,A50 assembly thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-088,55GAA0-MTE-2201:TE-CRC,55GAA0-MTE-2201,BOL structure thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-089,55GAA0-MTE-2202:TE-CRC,55GAA0-MTE-2202,BOL structure thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-090,55GAA0-MTE-2501:TE-CRC,55GAA0-MTE-2501,A60 M2 thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-091,55GAA0-MTE-2502:TE-CRC,55GAA0-MTE-2502,A60 M2 thermocouple,A,O,P,T/C Type N,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-092,55GAA0-MZH-2501:ZH-CRC,55GAA0-MZH-2501,A60 M2 limit switch high,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-093,55GAA0-MZL-2501:ZL-CRC,55GAA0-MZL-2501,A60 M2 limit switch low,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-094,55GAA0-MZH-2502:ZH-CRC,55GAA0-MZH-2502,A60 M2 limit switch high,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-095,55GAA0-MZL-2502:ZL-CRC,55GAA0-MZL-2502,A60 M2 limit switch low,D,O,P,24 V DC,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-096,55GAA0-GM-2501:CR-CCC,55GAA0-GM-2501,A60 M2 motor A+,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-097,55GAA0-GM-2501:CR-CCC,55GAA0-GM-2501,A60 M2 motor A-,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-098,55GAA0-GM-2501:CR-CCC,55GAA0-GM-2501,A60 M2 motor B+,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-099,55GAA0-GM-2501:CR-CCC,55GAA0-GM-2501,A60 M2 motor B-,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-100,55GAA0-GM-2502:CR-CCC,55GAA0-GM-2502,A60 M2 motor A+,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-101,55GAA0-GM-2502:CR-CCC,55GAA0-GM-2502,A60 M2 motor A-,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-102,55GAA0-GM-2502:CR-CCC,55GAA0-GM-2502,A60 M2 motor B+,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
D1-N9-GAA0-SIG-103,55GAA0-GM-2502:CR-CCC,55GAA0-GM-2502,A60 M2 motor B-,A,I,P,0 +24V,55GAA0-CU-7301,unconfirmed,,,,
